empresa_raw,channel_code,n_estadias
EMBAJADA JAPON,UNKNOWN,2
ACONCAL,UNKNOWN,2
CLUB DE TIRO,UNKNOWN,2
ROTARY CLUB,UNKNOWN,2
UTEPSA,UNKNOWN,2
SOC. PSIQUITARIA,UNKNOWN,2
AIMINA CUNA,UNKNOWN,2
ECOJET,UNKNOWN,2
NATOURTRAVEL,AGENCIA,2
DESCUBRE. ST,UNKNOWN,2
PAPELERA,UNKNOWN,2
MIA TOURS,AGENCIA,2
UNIVALLE,UNKNOWN,2
OPERADORES TURISTICOS,AGENCIA,2
SAMSUNG,UNKNOWN,2
NUBA TECHNICAL,UNKNOWN,2
UNIVERSAL SRL,EMPRESA,2
GEOTREK,UNKNOWN,2
PÁRTICULAR,UNKNOWN,2
J Y C VIAJES,AGENCIA,2
PARTICILAR,UNKNOWN,2
ALAIN LOEGAIS,UNKNOWN,2
TRIO IMPULSO,UNKNOWN,2
THOPSON,UNKNOWN,2
TUBROKER,UNKNOWN,2
JOY RIDE,UNKNOWN,2
CLUB DE LEONES,UNKNOWN,2
EMBAJADA DE CUBA,UNKNOWN,2
SUDAMERICA SR,UNKNOWN,2
DAERLING RIVERO,UNKNOWN,2
LATO UNIVERSAL,UNKNOWN,2
BCO. GANADERO,UNKNOWN,2
MONTERREY,UNKNOWN,2
INVITADO NOVIOS,UNKNOWN,2
LATCO UNIVERSA,UNKNOWN,2
COPIJSUD,UNKNOWN,2
JYC TRAVEL,AGENCIA,2
FEDERACION,UNKNOWN,2
RESERV.LICE NATY,REFERIDO,1
REUNION MEDICOS,UNKNOWN,1
HOTELS.COM,OTA,1
PRIETO Y ASOC.,UNKNOWN,1
SOC. DE ANESTECIOLOGOS,UNKNOWN,1
PAQ NOCHE DE BODAS,EVENTO,1
BNCO MERCANTIL SCZ,UNKNOWN,1
WELLA,UNKNOWN,1
AIR B&B,UNKNOWN,1
AIR BNB (BCP),OTA,1
TOURSMAKERS,AGENCIA,1
LATCO,UNKNOWN,1
NOCHE DE BODAS / LIC NATY,EVENTO,1
PARTICULAR/FACEBOOK,DIRECTO,1
NATI-PARTICULAR,DIRECTO,1
SAFI UNIÓN,UNKNOWN,1
POPPE/NATALIA,UNKNOWN,1
BIOTECNO,UNKNOWN,1
LIC. NATI,REFERIDO,1
MARIE STOPS,UNKNOWN,1
ENTEL,UNKNOWN,1
GUEVARA Y GUTIERREZ,UNKNOWN,1
PROESA BOLIVIA,EMPRESA,1
"ARQ, CARLOS",UNKNOWN,1
BANCON UNIÓN,EMPRESA,1
DESCUBRE SERVICIOS T.,UNKNOWN,1
G FINNIX,UNKNOWN,1
GOB. DEP. SANTA CRUZ,UNKNOWN,1
FACEBOOK/NATALIA,DIRECTO,1
"PARTICULAR, PAX ADICIONAL",DIRECTO,1
PARTICULAR ?,DIRECTO,1
ONU HABITAT,UNKNOWN,1
F E S,UNKNOWN,1
SWISS CONTACT,UNKNOWN,1
CENA ROMANTICA,UNKNOWN,1
AGUATUYA,UNKNOWN,1
BANCO UNION PARTICULAR,EMPRESA,1
SOC. PERU,UNKNOWN,1
SEGIP,UNKNOWN,1
SAN MIGULE ASOCIADOS,UNKNOWN,1
SF,UNKNOWN,1
GHIZ,UNKNOWN,1
LICEN NATI,UNKNOWN,1
SERVICIOS AMBIENTALES,UNKNOWN,1
